entity1,relation1,entity2,relation2,entity3,2_hop_q,simple_constraint,2_hop_1_simple_constraint
org,funding_round_investor,funding_round,launched,org,[org] invested in which organizations,,
org,funding_round_investor,funding_round,type_of,investment_type,[org] invested in what type of funding rounds,,
org,funding_round_investor,funding_round,raised_amount_usd,price,amounts raised in funding rounds [org] invested in,,
org,has_fund,fund,has_fund,org,[org] is the sponsor of events in which countries,,
org,has_fund,fund,announced_on,date,[org] is the sponsor of events in which cities,,
org,has_fund,fund,raised_amount_usd,price,[org] is the sponsor of what types of events,,
org,sponsor,event,type_of,event_role,[org] is the sspeaker of events in which countries,,
org,sponsor,event,started_on,date,[org] is the speaker of events in which cities,,
org,speaker,event,ended_on,date,[org] is the speaker of what types of events,,
org,speaker,event,type_of,event_role,[org] is the organizer of events in which countries,,
org,speaker,event,started_on,date,[org] is the organizer of events in which cities,,
org,organizer,event,ended_on,date,[org] is the organizer of what types of events,,
org,organizer,event,type_of,event_role,[org] is the exhibitor of events in which countries,,
org,organizer,event,started_on,date,[org] is the exhibitor of events in which cities,,
org,exhibitor,event,ended_on,date,[org] is the exhibitor of what types of events,,
org,exhibitor,event,type_of,event_role,[org] is the contestant of events in which countries,,
org,exhibitor,event,started_on,date,[org] is the contestant of events in which cities,,
category,category,org,org_ipo,ipo,ipos released by [category] organizations,,
category,category,org,parent_org,org_parent,list of parent organizations of [category] companies,,
category,category,org,launched,funding_round,list of funding rounds launched by [category] organizations,,
category,category,org,lead_investor_of,funding_round,list of funding rounds led by [category] companies,,
category,category,org,funding_round_investor,funding_round,list of funding rounds that has [category] investors,,
category,category,org,has_fund,fund,list the funds owned by [category] organizations,,
category,category,org,sponsor,event,list of events sponsored by [category] companies,,
category,category,org,speaker,event,list of events with a speaker from [category],,
category,category,org,organizer,event,list or events organized by [category] companies,,
category,category,org,exhibitor,event,list of events with an exhibitor from [category],,
category,category,org,contestant,event,list of events with a contestant from [category],,
org_role,role,org,sponsor,event,list of events sponsored by [role] organizations,,
org_role,role,org,speaker,event,list of events in which the speaker is has role [role],,
org_role,role,org,organizer,event,list or events organized by [role] organizations,,
org_role,role,org,exhibitor,event,list of events in which the exhibitor has role [role],,
org_role,role,org,contestant,event,list of events involving contestants with [role],,
event,sponsor,person,country_code,country_code,the sponsor of [event] come from what countries,,
event,sponsor,person,sponsor,event,people that sponsored [event] also sponsored in what other events,,
event,sponsor,org,sponsor,event,companies that sponsored [event] also sponsored in what other events,,
event,sponsor,org,category,category,the sponsors of [event] are from what industries,,
event,speaker,org,category,category,the speakers of [event] are from what industries,,
event,organizer,org,category,category,the organizers of [event] are from what industries,,
event,exhibitor,org,category,category,the exhibitor of [event] are from what industries,,
event,contestant,org,category,category,the contestants of [event] are from what industries,,
fund,has_fund,org,launched,funding_round,the owner of [fund] launched which funding rounds,,
fund,has_fund,org,lead_investor_of,funding_round,the owner of [fund] is the lead investor of which funding rounds,,
fund,has_fund,org,funding_round_investor,funding_round,the owner of [fund] invested in which funding rounds,,
fund,has_fund,org,sponsor,event,the owner of [fund] sponsored what events,,
fund,has_fund,org,country_code,country_code,the owner of [fund] is from what countries,,
fund,has_fund,org,org_status,org_status,what is the operating suatus of the owner of [fund],,
fund,has_fund,org,role,org_role,what are the roles of the owner of [fund],,
fund,has_fund,org,category,category,the owner of [fund] is from what industries,,
funding_round,lead_investor_of,person,country_code,country_code,[funding_round] is led by investors from what countries,,
funding_round,lead_investor_of,org,country_code,country_code,[funding_round] is led by investors from what countries,,
funding_round,funding_round_investor,person,country_code,country_code,the investors of [funding_round] are from which countries,,
funding_round,funding_round_investor,org,country_code,country_code,the investors of [funding_round] are from which countries,,
funding_round,funding_round_investor,org,category,category,the investors of [funding_round] are from what industries,,
funding_round,funding_round_investment_partner,person,country_code,country_code,[funding_round]'s investment partners are from which countries,,
city,city,funding_round,launched,org,funding rounds in [city] are launched by what organizations,,
funding_round,funding_round_investor,org,category,category,the investors of [funding_round] are from what industries,,
funding_round,funding_round_investment_partner,person,country_code,country_code,[funding_round]'s investment partners are from which countries,,
org_parent,parent_org,org,category,category,[pareng_org]'s child companies are from what categories,,
